Brand,Nama Product,Category,SkinType,Ingredients,Berat, Price ,Link
Garnier,Garnier Sensitive Anti-Acne Cleansing Gel,Facewash,Acne,"Aqua / Water, Sodium Laureth Sulfate, Peg-8, Coco-Betaine, Sodium Chloride, Alcohol, Caprylyl Glycol, Citric Acid, Hamamelis Virginiana Water / Witch Hazel Water, Hexylene Glycol, Maltodextrin, Peg-120 Methyl Glucose Dioleate, Phenoxyethanol, Salicylic Acid, Salix Alba Bark Extract / Willow Bark Extract, Sodium Benzoate, Sodium Hydroxide, Zinc Pca, Parfum/Fragrance",100ml," Rp 45,600.00 ",https://shopee.co.id/Garnier-Pure-Active-Sensitive-Anti-Acne-Cleanser-Foam-Gel-Skin-Care-100-ml-i.270965687.22803463239?sp_atk=8bc2f01a-c53e-48f3-86de-a96d3e8ea1d8&xptdk=8bc2f01a-c53e-48f3-86de-a96d3e8ea1d8
COSRX,COSRX Low pH Good Morning Gel Cleanser,Facewash,Normal,"Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA",50ml," Rp 45,900.00 ",https://shopee.co.id/COSRX-Low-pH-Good-Morning-Cleanser-50-ML-(Sabun-Wajah-Untuk-Semua-Jenis-Kulit)-Best-Seller-i.404429429.5389408407?sp_atk=37b088fa-5ff4-488d-b975-90a199e0b97f&xptdk=37b088fa-5ff4-488d-b975-90a199e0b97f
Innisfree,Innisfree Jeju Volcanic Pore Cleansing Foam,Facewash,Oily,"Water / Aqua / Eau, Glycerin, Myristic Acid, Lauric Acid, Potassium Hydroxide, Kaolin, Stearic Acid, Glyceryl Stearate, Lauryl Hydroxysultaine, Glycol Distearate, Palmitic Acid, Lauryl Glucoside, Polyquaternium-22, Fragrance / Parfum, Salicylic Acid, Silica, Onsen Sui, Zinc Pca, Volcanic Ash, Disodium Edta, Propanediol, Lactic Acid/Glycolic Acid Copolymer, 1,2-Hexanediol, Madecassoside, Polyquaternium-10, Ethylhexylglycerin",250gram," Rp 146,470.00 ",https://shopee.co.id/Innisfree-Volcanic-BHA-Pore-Cleansing-Foam-150gr-Sabun-Pembersih-Wajah-untuk-Kulit-Berminyak-i.61504589.1005261946?sp_atk=c89fc992-0f13-494a-81ff-024521e5df7f&xptdk=c89fc992-0f13-494a-81ff-024521e5df7f
The Body Shop, The Body Shop Seaweed Deep Cleansing Gel Wash,Facewash,Oily,"Aqua, Sodium Laureth Sulfate, Polysorbate 20, PEG-150 Distearate, Sodium Cocoamphoacetate, Cocamidopropyl Betaine, Phenoxyethanol, Citric Acid, Sodium Benzoate, Parfum/​Fragrance, Sodium Chloride, Butylene Glycol, Menthol, Trisodium Ethylenediamine Disuccinate, Aloe Barbadensis Leaf Juice Powder, Fucus Vesiculosus Extract, Linalool, Benzyl Salicylate, Benzyl Alcohol, Propylene Glycol, Sodium Hydroxide, Chondrus Crispus Extract",125ml," Rp 199,000.00 ",https://shopee.co.id/The-Body-Shop-Seaweed-Oil-Control-Facial-Wash-125Ml-i.28053737.383022238?sp_atk=07d7f023-ede7-455e-a01f-5fb2814ad01e&xptdk=07d7f023-ede7-455e-a01f-5fb2814ad01e
Sensatia Botanicals,Sensatia Botanicals Green Tea & Tamarind Facial Cleanser,Facewash,Sensitive,"Water (Aqua), Decyl Glucoside, Aloe Barbadensis (Aloe) Leaf Juice, Vegetable Glycerin, Xanthomonas Campestris (Xanthan) Gum, Sodium Citrate, Triticum Vulgare (Wheat) Germ Oil, Fragaria Vesca (Strawberry) Extract, Montmorillonite (Red Clay), Pelargonium Graveolens (Geranium) Oil, Tocopherol (Vitamin E), Citric Acid, Benzyl Alcohol & Benzoic Acid & Dehydroacetic Acid, *Citronellol, Citrus Medica Limonum (Lemon) Oil, Hibiscus Sabdariffa (Roselle) Flower Extract, *Limonene, *Geraniol, Pelargonium Asperum (Geranium) Extract, *Linalool, Rosa Damascena (Rose) Extract.",220ml," Rp 113,500.00 ",https://shopee.co.id/Sensatia-Botanicals-Cleopatra's-Rose-Facial-Cleanser-220mL-i.39248912.600559784?sp_atk=69d3e182-c213-43bd-a7d8-215ae2146e2d&xptdk=69d3e182-c213-43bd-a7d8-215ae2146e2d
Acnes,Acnes Natural Care Face Wash Complete White,Facewash,Acne,"Water, glycerin, palmitic acid, glyceryl stearate, myristic acid, potassium hydroxide, lauric acid, butylene glycol, olea europaea (olive) fruit oil, lauramide DEA, potassium cocoyl glycinate, laurylhydroxysultaine, potassium chloride, ethanol, fragrance, CI 77891, tocopheryl acetate, o-cymen-5-ol, dipotassiumglycyrrhizate, arctostaphylos uva ursi leaf extract mitracarpus scaber extract, magnesium ascorbyl phoshate, lactic acid, arbutin, sodium acetylatedhyaluronate.",100ml," Rp 24,000.00 ",https://shopee.co.id/Acnes-Natural-Care-Face-Wash-Complete-White-50g-i.30736001.1043896299?sp_atk=bdb93bc8-4b36-4004-93bd-f4807b6a2fdd&xptdk=bdb93bc8-4b36-4004-93bd-f4807b6a2fdd
NPURE,NPURE Facial Wash Cica,Facewash,Acne,"Aqua, Potassium Cocoyl Glycinate, Disodium Cocoyl Glutamate, Butylene Glycol, Cocamidopropyl Betaine, Niacinamide, Centella Asiatica Extract, Licorice Glycyrrhiza Glabra Extract, Salicylic Acid, Ascorbyl Glucoside, DMDM Hydantoin, Hydroxyethyl Urea, Camellia Sinensis Leaf Extract, Glutathione, Sodium Ascorbyl Phosphate, Sebacic Acid, Allantoin, Citrus Junos Seed Extract, Citrus Unshiu Peel Extract, Actinidia Chinensis Seed Extract, Fragaria Chiloensis Fruit Extract, Vitis Vinifera Leaf Extract, Vitis Vinifera Skin Extract, Garcinia Mangostana Peel Extract, Fragrance (Parfum Components And Finished Fragrances)",100ml," Rp 80,000.00 ",https://shopee.co.id/NPURE-Facial-Wash-Cica-Anti-Acne-Facial-Foam-Sabun-Muka-Anti-Jerawat-Berminyak-i.115276607.2217608401
PURE DEW,PURE DEW Cleanser Facial Wash 5X Ceramide Centella Asiatica Facial Wash,Facewash,Acne,"Aqua, Cocamidopropyl Betaine, Potassium Cocoyl Glycinate, Cocamide Dea, Sodium Chloride, Acrylates/Steareth-20 Methacrylate Copolymer, Glycerin, Phenoxyethanol, Potassium Hydroxide, Methylparaben, Citric Acid, Anthemis Nobilis Flower Water, Sodium Myristoyl Glutamate, Sodium Benzoate, Butylene Glycol, Sodium Lauryl Sulfate, Sodium Hyaluronate, Niacinamide, 1,2-Hexanediol, Hydroxyacetophenone, Tuber Magnatum Extract, Centella Asiatica Extract, Glycine, Hydrogenated Lecithin, Caprylyl Glycol, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Valine, Threonine, Proline, Isoleucine, Histidine, Ceramide Np, Ceramide Ns/Ceramide Ng, Ceramide As, Ceramide Eop, Ceramide Ap",70gram," Rp 26,514.00 ",https://shopee.co.id/PURE-DEW-Cleanser-Facial-Wash-5X-Ceramide-Centella-Asiatica-Facial-Wash-70-gr-Sabun-Cuci-Muka-Pembersih-Centella-Asiatica-Facial-Cleanser-kulit-sensitif-i.1088411547.22482583405?sp_atk=652840b0-aabf-45ff-bb6e-d7e3fd7bb1cc&xptdk=652840b0-aabf-45ff-bb6e-d7e3fd7bb1cc
Herborist,Herborist Facial Foam (Sabun Wajah) Tea Tree ,Facewash,Sensitive,"Aqua, Lauric Acid, Glycerin, Sodium Laureth Sulfate, Myristic Acid, Stearic Acid, PEG-150 Pentaerythrityl Tetrastearate, Potassium Hydroxide, Cocamidopropyl Betaine, Glycol Distearate, Perfume, Lauryl Betaine, DMDM Hydantoin, Sodium Chloride, Methylparaben, Olive (Olea Europea) Oil, Sodium Lactate, Disodium EDTA, Propylparaben, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Glycyrrhiza Glabra Root Extract, Citrus Aurantium Dulcis Fruit Extract, Kojic Acid, Ci 19140, Ci 42090",80gram," Rp 22,900.00 ",https://shopee.co.id/Herborist-Facial-Foam-(Sabun-Wajah)-Tea-Tree-80gr-i.2315394.1022259789?sp_atk=0a36a6e0-3f2d-42ba-8e78-8092a3304456&xptdk=0a36a6e0-3f2d-42ba-8e78-8092a3304456
Whitelab,Whitelab Brightening Facial Wash,Facewash,All Skin Type,"Aqua, Palmitic Acid, Glycerin, Lauric Acid, Sodium Laureth Sulfate, Potassium Hydroxide, Stearic Acid, Cocamide DEA, Propylene Glycol, Glycol Distearate, Disodium Cocoyl Glutamate, Sodium Chloride, Parfum, Cocamidopropyl Betaine, DMDM Hydantoin, Licorice Glycyrrhiza Glabra Extract, Niacinamide, Allantoin, Collagen, Polyquaternium-7, Tetrasodium EDTA",60gram," Rp 19,560.00 ",https://shopee.co.id/Whitelab-Brightening-Facial-Wash-Sabun-Pembersih-Muka-Pencerah-Dengan-Niacinamide-Hyaluronic-Collagen-BPOM--i.201071840.3611788396?sp_atk=6fdffb27-acb4-4732-8949-a9dd8927a079&xptdk=6fdffb27-acb4-4732-8949-a9dd8927a079
Azarine,Azarine Acne Gentle Cleansing Foam,Facewash,Acne,"Aqua, Disodium Laureth Sulfosuccinate, Cocoamidopropyl Betaine, Propanediol, Glycerin, Aloe Barbadensis Leaf Extract, Hamamelis Virginia Leaf Extract, Polyacrylate Crosspolymer-6, Alcohol, Citrus Limon (lemon) fruit extract, Chlorphenesin, Salicylic Acid, Rheum Palmatum Root Extract, Allantoin, Honey (Mel), Portulaca Oleracea Extract, Fragrance, Citric Acid.",60ml," Rp 18,650.00 ",https://shopee.co.id/Azarine-Acne-Gentle-Cleansing-Foam-60ml-i.80036545.1889291042?sp_atk=a5c0aaf9-0e69-44e4-af3a-43fb56545644&xptdk=a5c0aaf9-0e69-44e4-af3a-43fb56545644
Skintific,SKINTIFIC - 5X Ceramide Low pH Cleanser,Facewash,Acne,"Water, Glycerin, Sodium Cocoyl Glycinate, Lauryl Betaine, Hydroxypropyl Starch Phosphate, Citric Acid, PEG-60 Glyceryl Isostearate, Sodium Chloride, Glyceryl Stearate SE, Coco-Glucoside, Phenoxyethanol, Sodium Cocoyl Isethionate, Sodium Phytate, Ethylhexylglycerin, Polyquaternium-7, 1,2-Hexanediol, Quillaja Saponaria Bark Extract, Sodium Benzoate, Ceramide NP, Ceramide EOP, Hyaluronic Acid, Ceramide AP, Centella Asiatica Extract, Niacinamide, Ceramide AS, Panthenol, Ceramide NS, Salicylic Acid, Arginine, Butylene Glycol, Hydrogenated Lecithin, Cetearyl Alcohol, Tocopherol, Stearic Acid, Ascorbic Acid, Sodium Hyaluronate, Cholesterol, Phytosphingosine",80ml," Rp 92,900.00 ",https://shopee.co.id/SKINTIFIC-5X-Ceramide-Low-pH-Cleanser-80ml-Facial-Wash-Cleanser-Face-Wash-Sabun-Cuci-Muka-Acner-Glowing-Barrier-Anti-Aging-Exfoliating-Brightening-Whitening-Blackhead-Removal-Calming-Peeling-Dark-Spot-cleanser-with-Ceramide-Amino-acid-Hyaluronic-acid-i.380266264.10532826663?sp_atk=de9140d7-a4a5-4488-b3cd-40f3bad53f55&xptdk=de9140d7-a4a5-4488-b3cd-40f3bad53f55
Wardah,Wardah Acnederm Salicylic Acid,Facewash,Acne,"Aqua, Sodium Laureth Sulfate, Glycerin, Cocamidopropyl Betaine, Decyl Glucoside, PEG-120 Methyl Glucose Dioleate, Acrylates Copolymer, Zinc Gluconate, PEG-3 Distearate, Salicylic Acid, Allantoin, Sodium Lauroyl Sarcosinate, Ethylhexylglycerin, Fragrance, Sodium Chloride, Potassium Hydroxide, Phenoxyethanol, Disodium EDTA",50ml," Rp 23,920.00 ",https://shopee.co.id/Wardah-Acnederm-Salicylic-Acid-Zinc-Acne-Clearing-Low-pH-Foaming-Cleanser-i.59763733.1313435380?sp_atk=9648bdca-b454-44d8-b0ba-f54bf5a17f03&xptdk=9648bdca-b454-44d8-b0ba-f54bf5a17f03
Wardah,Wardah Lightening Niacinamide Micellar Gentle Wash,Facewash,All Skin Type,"Aqua, Glycerin, Cocamidopropyl Betaine, Cocamide DEA, Sodium Laureth Sulfate, PEG-3 Distearate, Sodium Chloride, Potassium Laureth Phosphate, Sodium Methyl Cocoyl Taurate, Sodium Lauroyl Sarcosinate, Niacinamide, Glycyrrhiza Glabra Root Extract, Fragrance, Propylene Glycol, Phenoxyethanol, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Triethanolamine, Citric Acid",50ml," Rp 24,000.00 ",https://shopee.co.id/Wardah-Lightening-Niacinamide-Micellar-Gentle-Wash-Facial-Wash-dengan-Advanced-Niacinamide-Sabun-Cuci-Muka-pH-Balance-Untuk-Mencerahkan-Cocok-untuk-Kulit-Kombinasi-Normal-Cenderung-Kering-i.59763733.4136702051?sp_atk=af36f888-59de-484e-9d0d-a8e653ef733f
Wardah,Wardah Perfect Bright Creamy Foam Bright + Oil Control,Facewash,Oily,"Myristic Acid, Glycerin, Aqua, Propylene Glycol, Potassium Hydroxide, Stearic Acid, Ethylene Glycol Distearate, Lauric Acid, Decyl Glucoside, Glyceryl Stearate, Olive Oil PEG-7 Esters, Polyquaternium-7, Niacinamide, Silica, Phenoxyethanol, Fragrance, Kaolin, Panthenol, Disodium EDTA, Ethylhexylglycerin, Ulva Lactuca Extract, Butylene Glycol, Glycyrrhiza Glabra (Licorice) Root Extract, Potassium Sorbate, Sodium Benzoate, Vitis Vinifera (Grape) Seed Extract.",50ml," Rp 22,000.00 ",https://shopee.co.id/%EF%BF%BCWardah-Perfect-Bright-Creamy-Foam-Bright-Oil-Control-Facial-Wash-Untuk-Kulit-Berminyak-Mengontrol-Produksi-Minyak-Hingga-12-Jam-dan-Membersihkan-Kulit-Tanpa-Rasa-Ketarik-Cerah-Sehat-Bebas-Kilap-i.59763733.1881840971
Wardah,Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser ,Facewash,Normal,"Aqua, Glycerin, Cocamidopropyl Betaine, Cocamide DEA, Sodium Laureth Sulfate, PEG-3 Distearate, Sodium Chloride, Potassium Laureth Phosphate, Sodium Methyl Cocoyl Taurate, Sodium Lauroyl Sarcosinate, Niacinamide, Glycyrrhiza Glabra Root Extract, Fragrance, Propylene Glycol, Phenoxyethanol, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Triethanolamine, Citric Acid, NMF Amino, AHA, PHA",100ml," Rp 37,260.00 ",https://shopee.co.id/NEW!-Wardah-Crystal-Secret-NMF-Amino-AHA-PHA-Clarifying-Foaming-Cleanser-100-mL-Sabun-Cuci-Muka-Gentle-Acid-Mantle-Expert-Daily-Exfoliating-Foam-yang-Membersihkan-dengan-Gentle-Kulit-Lembap-dan-Tampak-Cerah-Sebening-Kristal-i.59763733.1080148384?sp_atk=67fcad78-9338-464c-b36b-864da4b8e9be&xptdk=67fcad78-9338-464c-b36b-864da4b8e9be
Azarine,Azarine Active Bright - Brightening Creamy Facial Foam,Facewash,Normal,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycerin, Niacinamide, Glycol Distearate, Arbutin, Citric Acid, Sodium PCA, DMDM Hydantoin, Phenoxyethanol, Fragrance, Sodium Hyaluronate, Disodium EDTA",50gram," Rp 15,650.00 ",https://shopee.co.id/Azarine-Active-Bright-Brightening-Creamy-Facial-Foam-50gr-i.80036545.21824833002?sp_atk=92e119d6-60b4-40ab-85b0-f69e92b374d6&xptdk=92e119d6-60b4-40ab-85b0-f69e92b374d6
SKIN1004,SKIN1004 Madagascar Centella Ampoule Foam,Facewash,Sensitive,"Centella extract, sodium cocoyl isethionate, glycerine, purified water, sodium methyl cocoyl taurate, coco-betaine, potassium cocoyl, glycinate,  1,2-hexxanediol, sodium chloride, potassium cocoate, potassium benzoate, polyquaternium-67, citric acid, dextrin, sodium bicarbonate, cacao extract, disodium EDTA, sodium acetate, butylene glycol, coptis chinensis root extract, sodium hyaluronate, eclipta extract, coccinia indica fruit extract",125ml," Rp 119,200.00 ",https://shopee.co.id/SKIN1004-Madagascar-Centella-Ampoule-Foam-125ml-i.555954448.15516099411?sp_atk=ad8e3caa-d198-40a6-b735-aecc9361884a&xptdk=ad8e3caa-d198-40a6-b735-aecc9361884a
Emina,Emina Ms. Pimple Acne Solution Face Wash 50 ml ,Facewash,Acne,"Aqua, Propylene Glycol, Sodium Laureth Sulfate, Acrylates Copolymer, Hydroxyethylcellulose, Cocamidopropyl Betaine, Zinc Gluconate, Salicylic Acid, Triethanolamine, DMDM Hydantoin, Sodium Chloride, Allantoin, Fragrance, Phenoxyethanol, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Ethylhexylglycerin, Polysorbate 20, CI 19140, CI 42090.",50ml," Rp 20,250.00 ",https://shopee.co.id/Emina-Ms.-Pimple-Acne-Solution-Face-Wash-50-ml-Pembersih-Wajah-Kulit-Berjerawat-i.63983008.2202837906
Emina,Emina Bright Stuff Face Wash,Facewash,Sensitive,"Myristic Acid, Glycerin, Aqua, Propylene Glycol, Potassium Hydroxide, Stearic Acid, Glycol Distearate, Lauric Acid, Decyl Glucoside, Glyceryl Stearate, PEG-7 Olive Glycerides, Niacinamide, Polyquaternium-7, Silica, Phenoxyethanol, Fragrance, Kaolin, Panthenol, Disodium EDTA, Ethylhexylglycerin, Butylene Glycol, Glycyrrhiza Glabra (Root) Extract, Actinidia Polygama Fruit Extract",50ml," Rp 17,550.00 ",https://shopee.co.id/NEW!-Emina-Bright-Stuff-Face-Wash-Sabun-Muka-Cerah-Glowing-Anti-Kusam-i.63983008.2202837872
